Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTests,Edge Chromium 99,,,2022-03-18 14:18:56,2022-03-18 14:21:19,2m - 22.733s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:18:57,2022-03-18 14:19:22,24.761s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:19:02,2022-03-18 14:19:12,10.608s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:19:12,2022-03-18 14:19:14,1.914s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:19:14,2022-03-18 14:19:15,0.884s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:19:15,2022-03-18 14:19:16,0.907s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Edge Chromium 99,,,2022-03-18 14:19:16,2022-03-18 14:19:18,1.745s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Edge Chromium 99,,,2022-03-18 14:19:18,2022-03-18 14:19:20,2.354s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Edge Chromium 99,,,2022-03-18 14:19:20,2022-03-18 14:19:21,0.490s,PASSED
closeBrowser(),Edge Chromium 99,,,2022-03-18 14:19:21,2022-03-18 14:19:22,0.991s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:19:22,2022-03-18 14:19:32,10.714s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:19:22,2022-03-18 14:19:25,3.397s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:19:25,2022-03-18 14:19:27,1.715s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:19:27,2022-03-18 14:19:28,0.813s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:19:28,2022-03-18 14:19:29,0.729s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Edge Chromium 99,,,2022-03-18 14:19:29,2022-03-18 14:19:29,0.728s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Edge Chromium 99,,,2022-03-18 14:19:29,2022-03-18 14:19:31,1.621s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Edge Chromium 99,,,2022-03-18 14:19:31,2022-03-18 14:19:31,0.465s,PASSED
closeBrowser(),Edge Chromium 99,,,2022-03-18 14:19:31,2022-03-18 14:19:32,0.861s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:19:32,2022-03-18 14:19:42,10.044s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:19:33,2022-03-18 14:19:36,3.467s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:19:36,2022-03-18 14:19:37,1.393s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:19:37,2022-03-18 14:19:38,0.727s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:19:38,2022-03-18 14:19:39,0.702s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Edge Chromium 99,,,2022-03-18 14:19:39,2022-03-18 14:19:40,0.727s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Edge Chromium 99,,,2022-03-18 14:19:40,2022-03-18 14:19:41,1.335s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Edge Chromium 99,,,2022-03-18 14:19:41,2022-03-18 14:19:41,0.515s,PASSED
closeBrowser(),Edge Chromium 99,,,2022-03-18 14:19:41,2022-03-18 14:19:42,0.880s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:19:42,2022-03-18 14:19:55,12.226s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:19:43,2022-03-18 14:19:46,3.248s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:19:46,2022-03-18 14:19:47,1.343s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:19:47,2022-03-18 14:19:48,0.849s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:19:48,2022-03-18 14:19:49,0.718s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Edge Chromium 99,,,2022-03-18 14:19:49,2022-03-18 14:19:49,0.675s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Edge Chromium 99,,,2022-03-18 14:19:49,2022-03-18 14:19:51,1.818s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Edge Chromium 99,,,2022-03-18 14:19:51,2022-03-18 14:19:52,0.501s,PASSED
closeBrowser(),Edge Chromium 99,,,2022-03-18 14:19:52,2022-03-18 14:19:55,2.787s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:19:55,2022-03-18 14:20:05,10.425s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:19:55,2022-03-18 14:19:58,3.194s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:19:58,2022-03-18 14:19:59,1.481s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:19:59,2022-03-18 14:20:00,0.732s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:20:00,2022-03-18 14:20:01,0.706s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Edge Chromium 99,,,2022-03-18 14:20:01,2022-03-18 14:20:02,0.910s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Edge Chromium 99,,,2022-03-18 14:20:02,2022-03-18 14:20:04,1.817s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Edge Chromium 99,,,2022-03-18 14:20:04,2022-03-18 14:20:04,0.510s,PASSED
closeBrowser(),Edge Chromium 99,,,2022-03-18 14:20:04,2022-03-18 14:20:05,0.820s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:20:05,2022-03-18 14:20:17,12.360s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:20:05,2022-03-18 14:20:08,3.171s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:20:08,2022-03-18 14:20:11,2.620s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:20:11,2022-03-18 14:20:12,0.754s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:20:12,2022-03-18 14:20:13,0.763s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Edge Chromium 99,,,2022-03-18 14:20:13,2022-03-18 14:20:13,0.869s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Edge Chromium 99,,,2022-03-18 14:20:13,2022-03-18 14:20:15,1.845s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Edge Chromium 99,,,2022-03-18 14:20:15,2022-03-18 14:20:16,0.445s,PASSED
closeBrowser(),Edge Chromium 99,,,2022-03-18 14:20:16,2022-03-18 14:20:17,1.629s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Edge Chromium 99,,,2022-03-18 14:20:17,2022-03-18 14:20:28,10.917s,PASSED
"openBrowser("""")",Edge Chromium 99,,,2022-03-18 14:20:18,2022-03-18 14:20:21,3.225s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Edge Chromium 99,,,2022-03-18 14:20:21,2022-03-18 14:20:22,1.451s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Edge Chromium 99,,,2022-03-18 14:20:22,2022-03-18 14:20:23,0.825s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Edge Chromium 99,,,2022-03-18 14:20:23,2022-03-18 14:20:24,0.719s,PASSED
