Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E,Chrome 101.0.4951.67,,,2022-05-23 14:54:15,2022-05-23 14:54:45,30.517s,FAILED
,,,,,,,
Test Cases/End2End/Create Supplier,Chrome 101.0.4951.67,,,2022-05-23 14:54:24,2022-05-23 14:54:45,20.693s,FAILED
"click(findTestObject(""Object Repository/Page_Homescreen menu - Unit4 ERP/div_Procurement""))",Chrome 101.0.4951.67,,,2022-05-23 14:54:25,2022-05-23 14:54:28,3.291s,PASSED
"click(findTestObject(""Object Repository/Page_Homescreen menu - Unit4 ERP/div_Vendors""))",Chrome 101.0.4951.67,,,2022-05-23 14:54:28,2022-05-23 14:54:29,0.506s,PASSED
"switchToFrame(findTestObject(""Page_Vendors/Frame""), 60)",Chrome 101.0.4951.67,,,2022-05-23 14:54:29,2022-05-23 14:54:45,16.181s,FAILED
