Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTests,Chrome 98.0.4758.82,,,2022-02-15 16:11:44,2022-02-15 16:13:23,1m - 39.274s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 98.0.4758.82,,,2022-02-15 16:11:44,2022-02-15 16:11:55,11.377s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-15 16:11:46,2022-02-15 16:11:49,3.450s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 98.0.4758.82,,,2022-02-15 16:11:49,2022-02-15 16:11:51,1.668s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 98.0.4758.82,,,2022-02-15 16:11:51,2022-02-15 16:11:52,0.778s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 98.0.4758.82,,,2022-02-15 16:11:52,2022-02-15 16:11:52,0.691s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 98.0.4758.82,,,2022-02-15 16:11:52,2022-02-15 16:11:53,0.664s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 98.0.4758.82,,,2022-02-15 16:11:53,2022-02-15 16:11:54,1.202s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 98.0.4758.82,,,2022-02-15 16:11:54,2022-02-15 16:11:55,0.449s,PASSED
closeBrowser(),Chrome 98.0.4758.82,,,2022-02-15 16:11:55,2022-02-15 16:11:55,0.703s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 98.0.4758.82,,,2022-02-15 16:11:55,2022-02-15 16:12:03,7.094s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-15 16:11:56,2022-02-15 16:11:57,1.395s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 98.0.4758.82,,,2022-02-15 16:11:57,2022-02-15 16:11:58,1.174s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 98.0.4758.82,,,2022-02-15 16:11:58,2022-02-15 16:11:59,0.786s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 98.0.4758.82,,,2022-02-15 16:11:59,2022-02-15 16:12:00,0.666s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 98.0.4758.82,,,2022-02-15 16:12:00,2022-02-15 16:12:00,0.670s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 98.0.4758.82,,,2022-02-15 16:12:00,2022-02-15 16:12:01,1.055s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 98.0.4758.82,,,2022-02-15 16:12:01,2022-02-15 16:12:02,0.443s,PASSED
closeBrowser(),Chrome 98.0.4758.82,,,2022-02-15 16:12:02,2022-02-15 16:12:03,0.676s,PASSED
,,,,,,,
