Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTests,Chrome 99.0.4844.74,,,2022-03-18 14:18:56,2022-03-18 14:21:12,2m - 16.159s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 99.0.4844.74,,,2022-03-18 14:18:57,2022-03-18 14:19:22,25.045s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-18 14:19:01,2022-03-18 14:19:09,8.053s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 99.0.4844.74,,,2022-03-18 14:19:09,2022-03-18 14:19:12,3.149s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 99.0.4844.74,,,2022-03-18 14:19:12,2022-03-18 14:19:13,1.282s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 99.0.4844.74,,,2022-03-18 14:19:13,2022-03-18 14:19:15,1.067s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 99.0.4844.74,,,2022-03-18 14:19:15,2022-03-18 14:19:15,0.762s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 99.0.4844.74,,,2022-03-18 14:19:15,2022-03-18 14:19:18,2.246s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 99.0.4844.74,,,2022-03-18 14:19:18,2022-03-18 14:19:18,0.605s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-18 14:19:18,2022-03-18 14:19:22,3.428s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 99.0.4844.74,,,2022-03-18 14:19:22,2022-03-18 14:19:32,10.168s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-18 14:19:22,2022-03-18 14:19:24,2.057s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 99.0.4844.74,,,2022-03-18 14:19:24,2022-03-18 14:19:26,2.220s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 99.0.4844.74,,,2022-03-18 14:19:26,2022-03-18 14:19:27,0.710s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 99.0.4844.74,,,2022-03-18 14:19:27,2022-03-18 14:19:28,0.765s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 99.0.4844.74,,,2022-03-18 14:19:28,2022-03-18 14:19:28,0.719s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 99.0.4844.74,,,2022-03-18 14:19:28,2022-03-18 14:19:30,1.457s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 99.0.4844.74,,,2022-03-18 14:19:30,2022-03-18 14:19:30,0.473s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-18 14:19:30,2022-03-18 14:19:32,1.386s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 99.0.4844.74,,,2022-03-18 14:19:32,2022-03-18 14:19:41,9.315s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-18 14:19:32,2022-03-18 14:19:34,2.131s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 99.0.4844.74,,,2022-03-18 14:19:34,2022-03-18 14:19:36,1.701s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 99.0.4844.74,,,2022-03-18 14:19:36,2022-03-18 14:19:37,0.770s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 99.0.4844.74,,,2022-03-18 14:19:37,2022-03-18 14:19:38,0.915s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 99.0.4844.74,,,2022-03-18 14:19:38,2022-03-18 14:19:38,0.688s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 99.0.4844.74,,,2022-03-18 14:19:38,2022-03-18 14:19:40,1.418s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 99.0.4844.74,,,2022-03-18 14:19:40,2022-03-18 14:19:40,0.455s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-18 14:19:40,2022-03-18 14:19:41,0.931s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 99.0.4844.74,,,2022-03-18 14:19:41,2022-03-18 14:19:50,8.578s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-18 14:19:41,2022-03-18 14:19:43,1.951s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 99.0.4844.74,,,2022-03-18 14:19:43,2022-03-18 14:19:45,1.302s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 99.0.4844.74,,,2022-03-18 14:19:45,2022-03-18 14:19:46,1.030s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 99.0.4844.74,,,2022-03-18 14:19:46,2022-03-18 14:19:46,0.740s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 99.0.4844.74,,,2022-03-18 14:19:46,2022-03-18 14:19:47,0.716s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 99.0.4844.74,,,2022-03-18 14:19:47,2022-03-18 14:19:48,1.318s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 99.0.4844.74,,,2022-03-18 14:19:48,2022-03-18 14:19:49,0.474s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-18 14:19:49,2022-03-18 14:19:50,0.751s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 99.0.4844.74,,,2022-03-18 14:19:50,2022-03-18 14:19:59,9.684s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-18 14:19:50,2022-03-18 14:19:53,2.476s,PASSED
