Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E,Chrome 101.0.4951.67,,,2022-05-19 13:50:36,2022-05-19 13:50:59,23.139s,FAILED
,,,,,,,
Test Cases/End2End/Create Supplier,Chrome 101.0.4951.67,,,2022-05-19 13:50:46,2022-05-19 13:50:59,13.083s,FAILED
"click(findTestObject(""Object Repository/Page_Homescreen menu - Unit4 ERP/div_Procurement""))",Chrome 101.0.4951.67,,,2022-05-19 13:50:47,2022-05-19 13:50:50,3.295s,PASSED
"click(findTestObject(""Object Repository/Page_Homescreen menu - Unit4 ERP/div_Vendors""))",Chrome 101.0.4951.67,,,2022-05-19 13:50:50,2022-05-19 13:50:51,1.078s,PASSED
"click(findTestObject(""Object Repository/Page_Vendors - Unit4 ERP/span_New""))",Chrome 101.0.4951.67,,,2022-05-19 13:50:51,2022-05-19 13:50:59,8.036s,FAILED
