Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Nav,Chrome 99.0.4844.74,,,2022-03-18 14:09:38,2022-03-18 14:09:53,15.507s,PASSED
,,,,,,,
Test Cases/Navigation/Suppliers,Chrome 99.0.4844.74,,,2022-03-18 14:09:47,2022-03-18 14:09:53,5.631s,PASSED
"click(findTestObject(""Object Repository/Page_Menu - Unit4 ERP/div_Procurement""))",Chrome 99.0.4844.74,,,2022-03-18 14:09:50,2022-03-18 14:09:51,0.994s,PASSED
"click(findTestObject(""Object Repository/Page_Menu - Unit4 ERP/div_Suppliers_1""))",Chrome 99.0.4844.74,,,2022-03-18 14:09:51,2022-03-18 14:09:51,0.503s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Suppliers - Unit4 ERP/h1_Suppliers""), ""Suppliers"")",Chrome 99.0.4844.74,,,2022-03-18 14:09:51,2022-03-18 14:09:52,1.312s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-18 14:09:52,2022-03-18 14:09:53,0.731s,PASSED
